"anpa","adverb: downstairs, below, deep, low, deeply "
"anpa (e )","verb transitive: to defeat, to beat, to vanquish, to conquer, to enslave "
"anpa lawa","neck (bottom of head) "
"anpa lawa","neck, throat "
"anpa","noun: bottom, lower part, under, below, floor, beneath "
"anpa pi sinpin lawa","chin "
"anpa","verb intransitive: to prostrate oneself "
"ante","adjective: different, dissimilar, changed, other, unequal, differential "
"ante (e )","verb transitive: to change, to alter, to modify "
"ante la ni li ' ike.","In case of deviations it is unfavorable. "
"ante la ni li ' ike.","In case of deviations it is unfavourable. "
"ante la","noun: if difference, if variance, if disagreement "
"ante li kama.","Change comes. Times change. "
"ante","noun: difference, distinction, differential, variation, variance, disagreement "
"Antola","Andorra "
"anu","conjunction: or (used for decision questions) "
"a!","Ooh, Ahh! Unh! Oh! "
"a! telo sijelo loje li kama tan nena kute mi!","Ahh! Blood is coming from my ear! "
"awen","adjective: remaining, stationary, permanent, sedentary "
"awen","adverb: still, yet "
"awen (e )","verb transitive: to keep "
"awen","noun: inertia, continuity, continuum, stay "
"awen pona mi li pini!","My patience is over! "
"awen pona","patient "
"awen","verb intransitive: to stay, to wait,to remain "
"Awisi","Haiti, Haitian Creole "
"B: en mi wile moku kin.","And I want to eat too. "
"B: mi ken ala. mi moku kin e moku.","I can't. I'm still eating the food. "
"B: mi lukin kin e ona.","I see it indeed. "
"Ekato","Ecuador "
"Elena","Greece, Greek "
"e mi","reflexive pronoun: myself, ourselves "
"en","conjunction: and (used to coordinate head nouns) "
"e ona","reflexive pronoun: himself, herself, itself, themselves "
"Epanja","Spain, Spanish "
"e","separator: An 'e' introduces a direct object. Don't use 'e' before or after the other separators 'e', 'la', 'li', 'pi', 'o', '.', '!', '?', ':', ','. "
"Esi","Estonia, Estonian "
"e sina","reflexive pronoun: yourself, yourselves "
"Esuka","Basque Country, Basque "
"esun","adjective: commercial, trade, marketable, for sale, salable, deductible "
"esun (e )","verb transitive: to buy, to sell, to barter, to swap "
"esun","noun: market, shop, fair, bazaar, business, transaction "
"","He washes himself. "
"ijo","adjective: of something "
"ijo","adverb: of something "
"ijo (e )","verb transitive: to objectify "
"ijo ike li lon monsi mi.","Bad things are behind me. "
"ijo li lon oko mi.","Something is in my eye. "
"ijo li lukin e mi.","Something is watching me. "
"ijo lon tomo","household things "
"ijo","noun: thing, something, stuff, anything, object "
"ijo uta walo","teeth "
"ike","adjective: bad, negative, wrong, evil, overly complex "
"ike","adverb: bad, negative, wrong, evil, overly complex "
"ike","Bad "
"ike (e )","verb transitive: to make bad, to worsen "
"ike!","interjection: oh dear! woe! alas! "
"ike la","noun: if negativity, if badness, if evil "
"ike la sina moku e ni.","If you feel nauseous, swallow this. "
"ike la sina moku e ni.","In case of nausea swallow this. "
"ike li kama.","Bad comes. Shit happens. "
"ike lukin","ugly "
"ike","noun: negativity, badness, evil "
"ike!","Oh no! Uh! oh! Alas! "
"ike","verb intransitive: to be bad, to suck "
"Ilakija","Iraq "
"Ilan","Iran, Persian "
"I like the little lizard's green-blue skin.","selo pi jelo en laso pi akesi lili li ' pona, tawa mi. "
"ilo","adjective: useful "
"ilo","adverb: usefully "
"ilo lape","sleeping pill "
"ilo lape soweli","animal tranquilizer or anesthetic, e.g. ketamine "
"ilo li lon poki.","The tools are in the container. "
"ilo li ' pakala.","The tool is broken. "
"","ilo li sewi e sewi. "
"ilo li sewi e sewi.","The machine raises up the roof. "
"ilo moku","an eating utensil (fork/spoon/knife) "
"ilo moku","utensil, fork, spoon, knife, etc. "
"ilo musi","toy, thing used for entertainment "
"ilo nasa","drugs "
"ilo nasa wawa","energy-giving drug, e.g. amphetamine "
"ilo ni li ' lete mute , tawa mi.","This axe feels very cold. "
"ilo","noun: tool, device, machine, thing used for a specific purpose "
"ilo pi sitelen tawa","TV "
"ilo pi sitelen toki","pen, pencil "
"ilo sona","smart tool or machine, e.g. computer "
"ilo suno","flashlight "
"ilo suno","lamp "
"ilo toki","communications device, e.g. telephone, online chat "
"ilo unpa","sex toy "
"Inli","England, English "
"insa","adjective: inner, internal "
"insa","noun: inside, inner world, centre, stomach "
"Intonesija","Indonesia, Indonesian "
"Isale","Israel "
"Isilan","Iceland, Icelandic "
"","Is this a mammal? "
"Italija","Italy, Italian "
"","I want to have a lot of sex with you. "
"jaki","adjective: dirty, gross, filthy, obscene "
"jaki","adverb: dirty, gross, filthy "
"jaki (e )","verb transitive: to pollute, to dirty "
"jaki!","interjection: ew! yuck! "
"","jaki li jaki lili e mi. "
"jaki li jaki lili e mi.","The garbage dirtys me something. "
"jaki","noun: dirt, pollution, garbage, filth, feces "
"Jamanija","Yemen "
"jan","adjective: human, somebody's, personal, of people "
"jan","adverb: human, somebody's, personal, of people "
"jan ala li toki.","Nobody is talking. "
"jan alasa pona li ' wawa.","A good hunter is strong. "
"jan Ana o pana e moku, tawa mi!","Ana, give me food. "
"jan Eliku Kulaputon","Eric Clapton "
"jan Elu","elf "
"jan Epi o a!","Oh Abbie! "
"jan Eta li ' jan unpa.","Heather is a whore. "
"jan (e )","verb transitive: to personify, to humanize, to personalize "
"jan ike","bad person, jerk, negative person, enemy "
"jan ike","enemy "
"jan ike li kama la o seli e lipu ni!","If the enemy comes, burn these papers. "
"jan ike li utala e ona mute.","An enemy is attacking them. "
"jan ike ni li jo e len nasa.","That bad person has strange clothes. "
"jan jelo laso lili li kama, tan sewi.","A little green person came from the sky. "
"jan Jon Kalapin","John Calvin "
"jan Kanata","Canadian person "
"jan Keli o, sina ' pona lukin.","Kelly, you are pretty. "
"jan Ken o, mi olin e sina.","Ken, I love you. "
"jan Ken o, pipi li lon len sina.","Ken, a bug is on your shirt. "
"jan Kitopokolonpo","Christopher Columbus "
"jan kulupu","member of a group "
"jan laso jelo lili li kama, tan sewi. /","A little green person came from the sky. "
"jan laso lili","If Little Boy Blue "
"jan lawa","leader "
"jan lawa","leader, boss, master, chairperson, president, director "
"jan lawa lete","King Frost "
"jan lawa li moku e telo jaki.","The leader drank dirty water. "
"jan lawa ma","president of country, governor of state, premier of province "
"jan lawa pi jan utala","commander, general "
"jan lawa pi ma tomo","mayor "
"jan lawa pi tomo tawa kon","a pilot "
"jan lawa pi tomo tawa telo li moku.","The captain of the ship is eating. "
"jan li alasa e soweli.","Somebody hunt a buffalo. "
"jan lili","child "
"jan lili","child, daughter, son "
"jan lili en jan suli li toki.","The child and the adult are talking. "
"jan lili li ken ala moku e telo nasa.","Children can't drink beer. "
"jan lili li lukin e jan suli.","Children watch adults. "
"jan lili li sona ala e ike.","Children are innocent. "
"jan lili li wile e telo kili.","Children want fruit juice. "
"jan lili pi jan Keli li ' musi.","Keli's child is funny. "
"jan lili pi jan Ken en jan Lisa li ' suwi.","Ken and Lisa's baby is sweet. "
"jan lili sina li ' suwi.","Your baby is cute. "
"jan lili","small, short, thin or young person, child "
"jan lili # tu wan","3 children "
"jan li lon insa tomo.","Somebody's inside the house. "
"jan li lukin e ijo ni.","The guy's looking at this thing. "
"jan li lukin e ni.","The guy looks at that one. "
"jan li lukin, sama pipi.","People look like ants. "
"jan li moku.","Somebody is eating. "
"jan li moli ala moli e waso?","Did the man kill the bird? "
"jan li moli e waso.","The man killed the bird. "
"","jan li pona ilo e ilo. "
"jan li pona ilo e ilo.","The guy improve useful the tool. "
"jan li ' pona mute.","Man is very good. / The human being is the many good things. "
"jan li ' pona.","People are good. "
"jan li ' pona.","The person is good. "
"jan Lisa li ' pona.","Lisa is cool. "
"jan Lisa o, toki!","Hello Lisa! "
"jan Lisa o, toki!","Hello, Lisa. "
"jan Lisa taso li kama.","Only Lisa came. "
"jan li seme","personal traits "
"jan li ' suli mute. mani li ' suli lili.","People are more important than money. "
"jan li telo e ona.","A person washes himself. "
"jan li toki, kepeken toki pona, lon tomo toki.","People talk in/using Toki Pona in the chat room. "
"jan li wile jo e ma.","People want to own land. "
"jan # luka tu","7 people "
"jan Mawen o, sina wile ala wile moku?","Marvin, are you hungry? "
"jan Mawi li pana e seli tawa ma.","How Maui brought fire to the world. "
"jan Mesiko","Mexican person "
"jan Mewi li toki, tawa mi.","Mary's talking to me. "
"jan Mose o lawa e mi mute, tawa ma pona!","Moses, lead us to the good land. "
"jan mute kin li kama!","Many, many, many people are coming! "
"jan mute li kama.","Many people are coming. "
"jan mute li kama.","Many people came. "
"jan mute lili li kama.","A small amount (of) people are coming. "
"jan mute lili li kama.","Some (but not a lot) of people are coming. "
"jan nanpa tu tu","4th person "
"jan nasa pi ilo moli li ken pana e ike.","Weapon fools can bring bad things. "
"jan nasa","strange, foolish, unconventional or crazy person "
"jan nasa utala","fighting fool "
"jan Nesan li ' musi.","Nathan is funny. "
"jan ni li kon ike.","This person is breathing badly. "
"jan ni li pona lukin","That person is pretty. "
"jan ni li pona.","This bloke is good. "
"jan ni li ' sama mi.","That person is like me. "
"jan","noun: person, people, human, being, somebody, anybody "
"jan olin","loved one "
"jan olin","significant other, partner "
"jan pakala","an injured person, victim, etc. "
"jan pali pi ma ali o wan e ona.!","Proletarians of all countries, unite! "
"jan pali","worker, employee "
"jan Pawe o, mi wile ala moli.","Forrest, I don't want to die. "
"jan Pentan li pana e sona, tawa mi.","Brandon teaches to me. "
"jan","People "
"jan","person, people, inhabitant, member "
"jan pi ike lukin","an ugly person "
"jan pi jan unpa mute","promiscuous person "
"jan pi kama sona","student "
"jan pi ma ante","foreigner "
"jan pi ma sama","fellow citizen of same country or land "
"jan pi ma tomo","a city-dweller "
"jan pi musi sijelo","athlete "
"jan pi nanpa wan li lon.","The first person is here. "
"jan pi nasin sewi Kolisu","a Christian "
"jan (pi pali) moku","chef, cook "
"jan (pi pali) unpa","sex worker "
"jan (pi pali) unpa","sex worker, prostitute "
"jan pi pana sona","teacher "
"jan pi pona lukin","an attractive person "
"jan pi pona pilin","good psychotherapist "
"jan pi pona sijelo","good doctor, healer "
"jan pi tomo pali","office worker, etc. "
"jan pi tomo sama","housemate, roommate "
"jan pi wawa ala","a person with weakness, a weak person "
"jan poka","neighbor, someone who is beside you "
"jan pona","friend (good person) "
"jan pona","good person, friend, positive person "
"jan pona mi kin li lon ni.","My good friend is here. "
"jan pona mi li lon poka mi.","My friend is beside me. "
"jan sama","similar person, counterpart, peer, person in same situation, sibling "
"jan sama","sister, brother, sibling "
"jan San o tawa tomo sina!","John, go to your house! "
"jan Santa","Santa Claus "
"jan seme li lon? / jan seme li lon ni?","Who's there? "
"jan seme li ' meli sina?","Who is your girlfriend/wife? "
"jan seme li moku?","Who is eating? "
"jan seme li olin e sina?","Who loves you? "
"jan seme li tawa, lon poka sina?","Who went with you? "
"jan seme pi kulupu ni li suli?","Which people of this group are important? "
"jan Sesi o moku e kili ni!","Jessie, eat this fruit!. "
"jan sewi","saint, God, Flying Spaghetti Monster "
"jan sin li kama ala kama?","Are more people coming? "
"jan sin li kama.","More people are coming. "
"jan Sipi Wanta","Stevie Wonder "
"jan sona","knowledgeable person, wise person, educated person, academic, specialist "
"jan sona li ' jan nasa.","A wise man is a fool. A genius thinks unconventionally. "
"jan sona nanpa","mathematician "
"jan sona pilin","psychologist "
"jan sona sijelo","doctor, physician "
"jan suli","adult "
"jan suli","big, tall or fat person, adult "
"jan Susan anu jan Lisa li moku e suwi?","Susan or Lisa ate the cookies? "
"jan Susan li ' nasa.","Susan is crazy. "
"jan Ta o toki ala, tawa mi!","Todd, don't talk to me! "
"jan Tepani o, sina ' ike, tawa mi.","Steffany, I don't like you. "
"jan toki","speaker, messenger, person communicating "
"jan Toni Kena","Tony Chestnut "
"jan unpa","lover, prostitute "
"jan unpa","sexual partner "
"jan utala ali li ' nasa","All soldiers are stupid. "
"jan utala li seli ala seli e tomo?","Is the warrior burning the house? "
"jan utala nasa mute","many stupid soldiers "
"jan utala nasa","stupid soldier "
"jan utala pi ma Losi li ike, tawa ma ali.","Soldiers of Russia are bad for the world. "
"jan utala","soldier "
"jan Wasintan [Washington] li ' jan lawa pona pi ma Mewika.","Washington was a good leader of America. "
"jan wawa ala","No strong people. "
"jan wawa","a strong person "
"jan wawa pi pona mute li kama.","A strong, very good man is coming. "
"jan weka li kama.","The absentee is coming. "
"jelo","adjective: yellowish, yellowy "
"jelo","noun: yellow, light green "
"jelo","yellow, light green "
"jo","adjective: private, personal "
"jo ala e selo lon pini palisa","circumcised, cut "
"jo e linja mute","to be hairy "
"jo e mani mute","to be rich "
"jo e pilin pona","to have positive feelings, be mentally healthy "
"jo e selo lon pini palisa","uncircumcised, uncut "
"jo e sijelo pona","to be (physically) healthy "
"jo (e )","verb transitive: to have, to contain "
"jo ijo mute li ike e jan.","A lot of possession corrupts. "
"jo","noun: having, possessions, content "
"kala","adjective: fish- "
"kala","fish, seafood "
"kala kule mute","The Rainbow Fish "
"kala lete","raw fish, sushi "
"Kalalinuna","Greenland, Greenlandic "
"kalama","adjective: noisy, loud, rowdy "
"kalama ala li lon","No sound exists."
"kalama (e )","verb transitive: to sound, to ring, to play (an instrument) "
"kalama mu ni li ' pona, tawa mi.","I like this animal sound."
"kalama musi en meli li ' pona, tawa mi.","I like music and girls. "
"kalama musi 'Jingle Bells' li ' pona, tawa mi.","I like the song 'Jingle Bells'. "
"kalama musi li ' pona, tawa mi.","I like music. "
"kalama musi","music, song "
"kalama musi pi jan Elton-John li ' nasa.","Elton John's music is odd. "
"kalama musi pi jan Enja li ' pona.","Enya's music is good. "
"kalama","noun: sound, noise, voice "
"kalama pi kala ni li pakala e kala ali.","The noise of this fish disturbed all the fish. "
"kalama","verb intransitive: to make noise "
"kala","noun: fish, marine animal, sea creature "
"kala wawa li moku e soweli kala.","The shark eats the seal. "
"kama","adjective: coming, future "
"kama","adverb: coming, future "
"kama","auxiliary verb: to become, to mange to "
"kama (e )","verb transitive: to bring about, to summon "
"kama jo e lupa meli","to get genital reconstruction surgery as a women, i.e. vaginoplasty "
"kama jo e palisa mije","to get genital reconstruction surgery as a man, i.e. metoidioplasty, phalloplasty "
"kama jo e sinpin lawa meli","to get facial feminization surgery "
"kama jo e sinpin mije","to get male chest reconstruction surgery "
"kama jo (e )","verb transitive: to get "
"kama jo","get "
"kama moli","intransitives verb: dieing "
"kama","noun: event, happening, chance, arrival, beginning "
"kama olin","fall in love with "
"kama pona!","Come well! Welcome! "
"kama sona (e )","transitives verb: to learn, to study "
"kama","to come "
"kama","verb intransitive: to come, to become, to arrive, to happen "
"Kana","Ghana "
"Kanata","Canada "
"Kanse","France, French "
"kasi","adjective: vegetable, vegetal, biological, biologic, leafy "
"kasi anpa","grass "
"kasi (e )","verb transitive: to plant, to grow "
"kasi","herb, plant "
"kasi kule","flower "
"kasi kule li ' pona lukin.","Flowers are pretty. "
"kasi kule loje lili","The Little Pink Rose "
"kasi li ' pona, tawa mi.","I like plants. "
"kasi nasa","intoxicating plant, e.g. marijuana "
"kasi nasa / kasi sona","hemp "
"kasi","noun: plant, vegetation, herb, leaf "
"kasi sona","intoxicating plant used in meditation, e.g. marijuana "
"kasi suli li kasi, tawa sewi.","The tree grows into the sky. "
"kasi suli","trees, big shrubs "
"kasi","verb intransitive: to grow "
"kasi wawa","spice "
"Katala","Qatar "
"Katelo","Georgia, Georgian "
"Katemala","Guatemala "
"Kenata","Grenada "
"ken","auxiliary verb: to can, may "
"ken (e )","verb transitive: to make possible, to enable, to allow, to permit "
"ken la ilo li ' pakala.","Maybe the tool is broken. "
"ken la jan lili li wile moku e telo.","Maybe the baby is thirsty. "
"ken la jan Lisa li jo e ona.","Maybe Lisa has it. "
"ken la jan Susan li kama.","Maybe Susan will come. "
"ken la mi ken tawa ma Elopa.","Maybe I can go to Europe. "
"ken la mi tawa.","Maybe I'll go. "
"ken la","noun: if possibility, if ability, if permission "
"ken la ona li lape.","Maybe he's alseep. "
"ken la ona li lon tomo sona.","Maybe he's in school. "
"ken la tenpo pimeja la ni li ' pona.","Maybe in the night it will be ok. "
"ken la tomo pi ona en sina pi jelo en loje li ' ike, tawa mi.","Maybe I don't like the yellow-red patterned house of her and you. "
"ken","noun: possibility, ability, power to do things, permission "
"ken","verb intransitive: can, is able to, is allowed to, may, is possible "
"Kepeka","Quebec "
"kepeken ike pi ilo nasa","to abuse drugs "
"kepeken kasi nasa","to smoke pot "
"kepeken lili pi ilo nasa","to use drugs in moderation "
"kepeken","noun: use, usage, tool "
"kepeken","preposition: with, using "
"kepeken utala","to use violence "
"kepeken","verb intransitive: to use "
"Keposi","Cyprus "
"kili","adjective: fruity "
"kili","adverb: fruity "
"kili","fruit, vegetable "
"kili lili kiwen","nut "
"kili lili","small vegetable, fruit, e.g. berry, olive "
"kili li lon poki.","The fruit is in the basket. "
"kili li ' moku li ' pona.","Pineapple is a food and is good. "
"kili li ' pona, tawa mi.","I like fruit. "
"kili li tawa anpa, lon poka kasi.","The appel drops not far from the tree. "
"kili loje","reddish fruit or vegetable, e.g. tomato "
"kili ma","earth vegetable, e.g. potato "
"kili","noun: fruit, pulpy vegetable, mushroom "
"kili palisa","long fruit or vegetable, e.g. carrot, banana, cucumber "
"Kilipasi","Kiribati "
"kili pi jan Linta li ' ike.","Linda's fruit is bad. "
"kili pi jan Susan","Susan's fruit "
"kili seme en kili wan li ' kili # luka","Five apples minus one apple are how many apples? "
"kili suwi","(sweet) fruit "
"kili tu en kili wan li ' kili tu wan.","Two apples and one apple are three apples. "
"kili tu tu en kili wan li ' kili seme?","Two apples and one apple is how many apples? "
"kili","vegetable, fruit "
"kin","adjective: indeed, still, too kin can be the very last word in an adjective group. "
"kin","adverb: actually, indeed, in fact, really, objectively, kin can be the very last word in an adverb group. "
"kin!","interjection: really! "
"kin la","noun: if reality, if fact "
"Kinla","Wales, Welsh "
"kin","noun: reality, fact "
"kipisi (e )","verb transitive (unofficial): to cut "
"kipisi","noun (unofficial): section, fragment, slice "
"kiwen","adjective: hard, solid, stone-like, made of stone or metal "
"kiwen","adverb: hard, solid, stone-like, made of stone or metal "
"kiwen (e )","verb transitive: to solidify, to harden, to petrify, to fossilize "
"kiwen","noun: hard thing, rock, stone, metal, mineral, clay "
"ko (e )","verb transitive: to squash, to pulverize "
"ko jaki","feces "
"ko jaki lon nena sinpin","boogers "
"ko jaki","shit, feces, pooh "
"ko lete li kama","it's snowing "
"kon","adjective: air-like, ethereal, gaseous "
"kon","adverb: air-like, ethereal, gaseous "
"kon en sewi","weather "
"kon (e )","verb transitive: to blow away something, to puff away something "
"Konko (pi ma tomo Kinsasa)","Congo, Dem. Rep. "
"Konko (pi ma tomo Pasawi)","Congo, P. Rep. "
"kon","noun: air, wind, smell, soul "
"ko","noun: semi-solid or squishy substance; clay, dough, glue, paste, powder, gum "
"kon sewi li jo e walo","it's cloudy "
"kon","verb intransitive"
"Kosalika","Costa Rica "
"Kosiwa","Côte d'Ivoire "
"ko (walo) wawa","cocaine "
"kule","adjective: colourful, pigmented, painted "
"kule","colour "
"kule (e )","verb transitive: to paint, to color "
"kule laso loje li ' pona, tawa mi.","I like the color purple. "
"kule loje laso li ' pona, tawa mi. /","I like the color purple. "
"kule lon palisa luka","nail polish "
"kule","noun: color, colour, paint, ink, dye, hue "
"kule seme li ' pona, tawa sina?","Which color do you like? "
"kulupu","adjective: communal, shared, public, of the society "
"kulupu (e )","verb transitive: to assemble, to call together, to convene "
"kulupu mama","family "
"kulupu","noun: group, community, society, company, people "
"kulupu pi kalama musi pi ma Inli li pona.","The English rock band is good. "
"kulupu pi ma Inli pi kalama musi li pona.","The English rock band is good. "
"kulupu pi toki pona","the Toki Pona community "
"Kupa","Cuba "
"Kusala","Gujarat, Gujarati "
"kute","adjective: auditory, hearing "
"kute (e )","verb transitive: to hear, to listen, "
"kute","noun: hearing, ear "
"Kuwasi","Kuweit "
"Lanka","Sri Lanka "
"lape","adjective: sleeping, of sleep, dormant "
"lape","adverb: asleep "
"lape (e )","verb transitive: to knock out "
"lape li ' pona.","Sleep and rest are good. "
"lape","noun: sleep, rest "
"lape pona!","Sleep well! Have a good night! "
"lape","verb intransitive: to sleep, to rest "
"la","separator: A 'la' is between a conditional phrases and the main sentence. A context phrase can be sentence, half sentence or noun. Don't use 'la' before or after "
"laso","adjective: bluish, bluey "
"laso","blue, blue-green "
"laso jelo li ' pona, tawa mi.","Green (yellowish blue) is my favourite colour. "
"laso loje li ' pona, tawa mi.","Purple (reddish blue) is my favourite colour. "
"laso","noun: blue, blue-green "
"laso pimeja","dark blue "
"lawa","adjective: main, leading, in charge "
"lawa","adverb: main, leading, in charge "
"lawa e pilin","to master one's feelings, be composed "
"lawa (e )","verb transitive: to lead, to control, to rule, to steer "
"lawa","head "
"lawa","noun: head, mind "
"len","adjective: dressed, clothed, costumed, dressed up "
"len","clothes, article of clothing, cloth, fabric "
"len (e )","verb transitive: to wear, to be dressed, to dress "
"len kule li ' pona, tawa mi.","I like the colourful dress. "
"len lawa","hat, hood, bonnet, headdress "
"len loje laso mi li ' pona, tawa mi.","I like this purple t-shirt. "
"len luka","gloves, mittens "
"len ni li kule seme?","What colour is this article of clothing? "
"len ni pi loje en laso li ' pona, tawa mi.","I like this red and blue patterned t-shirt. "
"len noka","shoe, pants "
"len","noun: clothing, cloth, fabric, network, internet "
"len pi jan Lisa","Lisa's clothes "
"len pi jan Susan li ' jaki.","Susan's clothes are dirty. "
"len pi loje en laso pi meli sina li ' pona, tawa mi.","I like your wife's red and blue patterned dress. "
"len sina li ' telo ala ' telo?","Are your clothes wet? "
"Lesi","Brittany, Breton "
"lete","adjective: cold, cool, uncooked, raw, perishing "
"lete","adverb: bleakly "
"lete (e )","verb transitive: to cool down, to chill "
"lete lili li lon.","It's cool. "
"lete li lon","it's cold "
"lete li lon.","It's cold. "
"lete mute li lon.","It's very cold. "
"lete","noun: cold, chill, bleakness "
"lili","adjective: small, little, young, a bit, short, few, less "
"lili","adverb: small, little, young, a bit, short, few, less "
"lili (e )","verb transitive: to reduce, to shorten, to shrink, to lessen "
"lili","noun: smallness, youth, immaturity "
"lili","small, short, thin, young "
"linja","adjective: elongated, oblong, long "
"linja (lawa)","hair "
"linja lawa","hair (of head) "
"linja lili oko","eyebrows, eyelashes "
"linja mi li ' telo.","My hair is wet. "
"linja","noun: long and flexible thing; string, rope, hair, thread, cord, chain, line, yarn "
"linja sinpin","beard, facial hair "
"linja uta","moustache "
"Lipija","Libya "
"lipu","adjective: book-, paper-, card-, ticket-, sheet-, page,- "
"lipu ni li ' lete, tawa mi.","This paper feels cold. "
"lipu","noun: paper, book, card, ticket, sheet, (web-)page, list ; flat and bendable thing "
"lipu toki","paper with written information, document, text, book "
"lipu toki","report "
"Lisensan","Liechtenstein "
"li","separator: It separates the subject phrase, except 'mi' and 'sina', from the predicate phrase. Don't use 'li' before or after the other separators 'e', 'la', 'o', 'pi', '.', '!', '?', ':', ','. "
"loje","adjective: reddish, ruddy, pink, pinkish, gingery "
"loje jelo li ' pona, tawa mi.","Orange (yellowish red) is my favourite colour. "
"loje laso li ' pona, tawa mi.","Purple is my favourite colour. "
"loje laso (pimeja)","(dark) blueish red, purple "
"loje","noun: red "
"loje","red "
"loje walo","light red, pink "
"loje walo li ' pona, tawa mi.","Pink (whitish red) is my favourite colour. "
"Lomani","Romania, Romanian "
"lon","adjective: true, existing, correct, real, genuine "
"lon (e )","verb transitive: to give birth, to create "
"lon","noun: existence, being, presence "
"lon ona la mi ken lukin e ona.","If it has suchness, we can see it. "
"lon ona la ni li ' pona, tawa mi.","If it exists, it's good for me. "
"lon","preposition: be (located) in/at/on "
"lon tenpo pi pali ala","to be taking a sabbatical, break from work "
"lon","verb intransitive: to be there, to be present, to be real/true, to exist "
"Losi","Russia, Russian "
"Lowasi","Croatia, Croatian "
"Lowenki","Slovakia, Slovak "
"Lowensina","Slovenia, Slovenian "
"luka","5 "
"luka","adjective numeral: five, 5 "
"luka","adjective: tangible, palpable "
"luka","hand, arm "
"luka luka","5 + 5 = 10 "
"luka luka luka","5 + 5 + 5 = 15 "
"luka luka tu","5 + 5 + 2 = 12 "
"luka luka tu tu","5 + 5 + 2 + 2 = 14 "
"luka luka tu wan","5 + 5 + 2 + 1 = 13 "
"luka luka wan","5 + 5 + 1 = 11 "
"luka mi li ' jaki. mi wile telo e ona.","My hands are dirty. I want to wash them. "
"luka","noun: arm, hand, tacticle organ "
"luka tu","5 + 2 = 7 "
"luka tu tu","5 + 2 + 2 = 9 "
"luka tu wan","5 + 2 + 1 = 8 "
"luka wan","5 + 1 = 6 "
"lukin","adjective: visual(ly) "
"lukin","adverb: visual(ly) "
"lukin","auxiliary verb: to seek to, try to, look for "
"lukin","aware, attentive "
"lukin e toki","read "
"lukin (e )","verb transitive: to see, to look at, to watch, to read "
"lukin jo e pali","to be looking for a job "
"lukin","noun: view, look, glance, sight, gaze, glimpse, seeing, vision "
"lukin","verb intransitive: to look, to watch out, to pay attention "
"Lunpan","Lebanon "
"lupa","adjective: hole-, holey, full of holes "
"lupa (e )","verb transitive: to pierce, to stab, to perforate "
"lupa","hole, orifice "
"lupa jaki","anus "
"lupa kute","ear "
"lupa meli li mama ale.","A woman's womb is the mother of all things. "
"lupa meli","vagina "
"lupa (meli)","vagina, pussy "
"lupa monsi","anus "
"lupa nena","nostrils "
"lupa ni li ' suli.","That hole is big. "
"lupa","noun: hole, orifice, door, window "
"lupa pi telo jelo","urethra "
"lupa (tomo)","window, door "
"Lusepu","Luxemburg "
"Luwanta","Rwanda "
"ma","adjective: countrified, outdoor, alfresco, open-air "
"ma ali li ' pona, tawa mi.","All nations are good to me.. "
"ma","Ecology "
"ma Epanja","Spain "
"ma Inli li ' pona.","England is good. "
"ma Italija li ' pona lukin.","Italy is beautiful. "
"ma Kanata li ' pona.","Canada is good. "
"ma kasi","forest, jungle "
"Maketonija","Macedonia "
