"kon","adjective","air-like, ethereal, gaseous "
"kon","adverb","air-like, ethereal, gaseous "
"kon","noun","air, wind, smell, soul "
"kon","verb intransitive:","to breathe "
"kon (e )","verb transitive","to blow away something, to puff away something "
"kule","adjective","colourful, pigmented, painted "
"kule","noun","color, colour, paint, ink, dye, hue "
"kule (e )","verb transitive","to paint, to color "
"kulupu","adjective","communal, shared, public, of the society "
"kulupu","noun","group, community, society, company, people "
"kulupu (e )","verb transitive","to assemble, to call together, to convene "
"kute","adjective","auditory, hearing "
"kute","noun","hearing, ear "
"kute (e )","verb transitive","to hear, to listen, "
"la ","separator","A 'la' is between a conditional phrases and the main sentence. A context phrase can be sentence, half sentence or noun. Don't use 'la' before or after the other separators 'e', 'li', 'pi', '.', '!', '?', ':', ','. "
"lape","adjective","sleeping, of sleep, dormant "
"lape","adverb","asleep "
"lape","noun","sleep, rest "
"lape","verb intransitive","to sleep, to rest "
"lape (e )","verb transitive","to knock out "
"laso","adjective","bluish, bluey "
"laso","noun","blue, blue-green "
"lawa","adjective","main, leading, in charge "
"lawa","adverb","main, leading, in charge "
"lawa","noun","head, mind "
"lawa (e )","verb transitive","to lead, to control, to rule, to steer "
"len","adjective","dressed, clothed, costumed, dressed up "
"len","noun","clothing, cloth, fabric, network, internet "
"len (e )","verb transitive","to wear, to be dressed, to dress "
"lete","adjective","cold, cool, uncooked, raw, perishing "
"lete","adverb","bleakly "
"lete","noun","cold, chill, bleakness "
"lete (e )","verb transitive","to cool down, to chill "
"li ","separator","It separates the subject phrase, except 'mi' and 'sina', from the predicate phrase. Don't use 'li' before or after the other separators 'e', 'la', 'o', 'pi', '.', '!', '?', ':', ','. "
"lili","adjective","small, little, young, a bit, short, few, less "
"lili","adverb","small, little, young, a bit, short, few, less "
"lili","noun","smallness, youth, immaturity "
"lili (e )","verb transitive","to reduce, to shorten, to shrink, to lessen "
"linja","adjective","elongated, oblong, long "
"linja","noun","long and flexible thing; string, rope, hair, thread, cord, chain, line, yarn "
"lipu","adjective","book-, paper-, card-, ticket-, sheet-, page,- "
"lipu","noun","paper, book, card, ticket, sheet, (web-)page, list ; flat and bendable thing "
"loje","adjective","reddish, ruddy, pink, pinkish, gingery "
"loje","noun","red "
"lon","adjective","true, existing, correct, real, genuine "
"lon","noun","existence, being, presence "
"lon ","preposition","be (located) in/at/on "
"lon","verb intransitive","to be there, to be present, to be real/true, to exist "
"lon (e )","verb transitive","to give birth, to create "
"luka","adjective","tangible, palpable "
"luka","adjective numeral","five, 5 "
"luka","noun","arm, hand, tacticle organ "
"lukin","adjective","visual(ly) "
"lukin","adverb","visual(ly) "
"lukin","noun","view, look, glance, sight, gaze, glimpse, seeing, vision "
"lukin","verb intransitive","to look, to watch out, to pay attention "
"lukin (e )","verb transitive","to see, to look at, to watch, to read "
"lukin ","auxiliary verb","to seek to, try to, look for "
"lupa","adjective","hole-, holey, full of holes "
"lupa","noun","hole, orifice, door, window "
"lupa (e )","verb transitive","to pierce, to stab, to perforate "
"ma","adjective","countrified, outdoor, alfresco, open-air "
"ma","noun","land, earth, country, (outdoor) area "
"mama","adjective","of the parent, parental, maternal, fatherly, motherly, mumsy "
"mama","noun","parent, mother, father "
"mama (e )","verb transitive","to mother sb., to wet-nurse, mothering "
"mani","adjective","financial, financially, monetary, pecuniary "
"mani","adverb","financially "
"mani","noun","money, material wealth, currency, dollar, capital "
"meli","adjective","female, feminine, womanly "
"meli","noun","woman, female, girl, wife, girlfriend "
"mi","personal pronoun","I, we "
"mi","possessive pronoun","my, our "
"e mi","reflexive pronoun","myself, ourselves "
"mije","adjective","male, masculine, manly "
"mije","noun","man, male, husband, boyfriend "
"moku","adjective","eating "
"moku","adverb","eating "
"moku","noun","food, meal "
"moku (e )","verb transitive","to eat, to drink, to swallow, to ingest, to consume "
"moli","adjective","dead, dying, fatal, deadly, lethal, mortal, deathly, killing "
"moli","adverb","mortally "
"moli","noun","death, decease "
"moli","verb intransitive","to die, to be dead "
"moli (e )","verb transitive","to kill "
"moli","intransitives verb","dieing "
"monsi","adjective","back, rear "
"monsi","noun","back, rear end, butt, behind "
"monsuta","adjective","(unofficial): fearful, afraid "
"monsuta","noun","(unofficial): monster, monstrosity, fearful thing, fright, mythical creatures, fear "
"mu","adjective","animal nois- "
"mu","adverb","animal nois- "
"mu!","interjection","woof! meow! moo! etc. (cute animal noise) "
"mu","noun","animal noise "
"mu","verb intransitive","to communicate animally "
"mu (e )","verb transitive","to make animal noise "
"mun","adjective","lunar "
"mun","noun","moon, lunar, night sky object, star "
"musi","adjective","artful, fun, recreational "
"musi","adverb","cheerfully "
"musi","noun","fun, playing, game, recreation, art, entertainment "
"musi","verb intransitive","to play, to have fun "
"musi (e )","verb transitive","to amuse, to entertain "
"mute","adjective","many, very, much, several, a lot, abundant, numerous, more "
"mute","adjective numeral","20 (official Toki Pona book) "
"mute","adverb","many, very, much, several, a lot, abundant, numerous, more "
"mute","noun","amount, quantity "
"mute (e )","verb transitive","to make many or much "
"namako","adjective","spicy, piquant "
"namako","noun","spice, something extra, food additive, accessory "
"namako (e )","verb transitive","to spice, to flavor, to decorate "
"nanpa ","adjective numeral","To build ordinal numbers. "
"nanpa","noun","number, numeral "
"nanpa (e )","verb transitive","to count, to reckon, to number "
"nasa","adjective","silly, crazy, foolish, drunk, strange, stupid, weird "
"nasa","adverb","silly, crazy, foolish, drunk, strange, stupid, weird "
"nasa","noun","stupidity, foolishness, silliness, nonsense, idiocy, obtuseness, muddler "
"nasa (e )","verb transitive","to drive crazy, to make weird "
"nasin","adjective","systematic, habitual, customary, doctrinal "
"nasin","noun","way, manner, custom, road, path, doctrine, system, method "
"nena","adjective","hilly, undulating, mountainous, hunchbacked, humpbacked, bumpy "
"nena","noun","bump, hill, extrusion, button, mountain, nose, protuberance "
"ni","adjective demonstrative pronoun","this, that "
"ni","noun demonstrative pronoun","this, that "
"nimi","noun","word, name "
"nimi (e )","verb transitive","to name "
"noka","adjective","foot-, lower, bottom "
"noka ","adverb","on foot "
"noka","noun","leg, foot; organ of locomotion; bottom, lower part "
"o!","interjection","hey! (calling somebody's attention) "
"o, ","interjection","adressing people "
"o !","subject","An 'o' is used for imperative (commands). 'o' replace the subject. "
"o !","separator","An 'o' is used for imperative (commands): 'o' replace 'li'. "
"oko","adjective","optical, eye- "
"oko","noun","eye "
"olin","adjective","love "
"olin","noun","love "
"olin (e )","verb transitive","to love (a person) "
"ona","personal pronoun","she, he, it, they "
"ona","possessive pronoun","her, his, its "
"e ona","reflexive pronoun","himself, herself, itself, themselves "
"open","adjective","initial, starting, opening "
"open","noun","start, beginning, opening "
"open la ","noun","at the opening, in the beginning "
"open (e )","verb transitive","to open, to start, to begin, to turn on "
"open ","auxiliary verb","to begin, to start "
"pakala","adjective","destroyed, ruined, demolished, shattered, wrecked "
"pakala","adverb","destroyed, ruined, demolished, shattered, wrecked "
"pakala!","interjection","damn! fuck! "
"pakala","noun","blunder, accident, mistake, destruction, damage, breaking "
"pakala","verb intransitive","to screw up, to fall apart, to break "
"pakala (e )","verb transitive","to screw up, to ruin, to break, to hurt, to injure, to damage "
"pali","adjective","active, work-related, operating, working "
"pali","adverb","actively, briskly "
"pali","noun","activity, work, deed, project "
"pali","verb intransitive","to act, to work, to function "
"pali (e )","verb transitive","to do, to make, to build, to create "
"palisa","adjective","long "
"palisa","noun","long hard thing; branch, rod, stick, pointy thing "
"palisa (e )","verb transitive","to stretch, to beat, to poke, to stab, to sexually arouse "
"pan","noun","cereal, grain; barley, corn, oat, rice, wheat; bread, pasta "
"pan (e )","verb transitive","to sow "
"pana","adjective","generous "
"pana","noun","giving, transfer, exchange "
"pana (e )","verb transitive","to give, to put, to send, to place, to release, to emit, to cause "
"pi ","separator","'pi' is used to build complex compound nouns. 'pi' separates a (pro)noun from another (pro)noun that has at least one adjective. After 'pi' could only be a noun or pronoun. Don't use 'pi' before or after the other separators 'e', 'la', 'li', 'o', '.', '!', '?', ':'. "
"pilin","adjective","sensitive, feeling, empathic "
"pilin","adverb","perceptively "
"pilin","noun","feelings, emotion, feel, think, sense, touch, "
"pilin","verb intransitive","to feel, to sense "
"pilin (e )","verb transitive","to feel, to think, to touch, to fumble, to fiddle "
"pimeja","adjective","black, dark "
"pimeja","noun","darkness, shadows "
"pimeja (e )","verb transitive","to darken "
"pini","adjective","completed, finished, past, done "
"pini","adverb","ago, past, perfectly "
"pini","noun","end, tip "
"pini (e )","verb transitive","to end, to stop, to turn off, to finish, to close "
"pini ","auxiliary verb","to stop, to finish, to end, to interrupt "
"pipi","noun","bug, insect, spider "
"poka","adjective","neighbouring "
"poka","noun","side, hip, next to "
"poki","noun","container, box, bowl, cup, glass "
"poki (e )","verb transitive","to box up, to put in, to can, to bottle "
"pona","adjective","good, simple, positive, nice, correct, right "
"pona","adverb","good, simple, positive, nice, correct, right "
"pona!","interjection","great! good! thanks! OK! cool! yay! "
"pona","noun","good, simplicity, positivity "
"pona la ","noun","if good, if simplicity, if positivity "
"pona (e )","verb transitive","to improve, to fix, to repair, to make good "
"pu","adjective","buying and interacting with the official Toki Pona book "
"pu","noun","buying and interacting with the official Toki Pona book "
"pu ","auxiliary verb","to buying and interacting with the official Toki Pona book "
"pu","verb intransitive","to buy and to read (the official Toki Pona book) "
"pu (e )","verb transitive","to apply (the official Toki Pona book) to "
"sama","adjective","same, similar, equal, of equal status or position "
"sama","adverb","just as, equally, exactly the same, just the same, similarly "
"sama","noun","equality, parity, equity, identity, par, sameness "
"sama la ","noun","in case of equality, if parity, on identity "
"sama ","preposition","like, as, seem "
"sama (e )","verb transitive","to equate, to make equal, to make similar to "
"seli","adjective","hot, warm, cooked "
"seli","adverb","hot, warm, cooked "
"seli","noun","fire, warmth, heat "
"seli (e )","verb transitive","to heat, to warm up, to cook "
"selo","noun","skin, outer form, bark, peel, shell, skin, boundary, shape "
"selo (e )","verb transitive","to shelter, to protect, to guard "
"seme","question pronoun","what, which, wh- (question word) "
"sewi","adjective","superior, elevated, religious, formal "
"sewi","adverb","superior, elevated, religious, formal "
"sewi","noun","high, up, above, top, over, on "
"sewi","verb intransitive","to get up "
"sewi (e )","verb transitive","to lift "
"sijelo","adjective","physical, bodily, corporal, corporeal, material, carnal "
"sijelo","adverb","physically, bodily "
"sijelo","noun","body (of person or animal), physical state, torso "
"sijelo (e )","verb transitive","to heal, to heal up, to cure "
"sike","adjective","round, cyclical, of one year "
"sike","adverb","rotated "
"sike","noun","circle, ball, cycle, sphere, wheel; round or circular thing "
"sike (e )","verb transitive","to orbit, to circle, to revolve, to circle around, to rotate "
"sin","adjective","new, fresh, another, more "
"sin ","adverb","regenerative "
"sin","noun","news, novelty, innovation, newness, new release "
"sin (e )","verb transitive","to renew, to renovate, to freshen "
"sina","personal pronoun","you "
"sina","possessive pronoun","yours "
"e sina","reflexive pronoun","yourself, yourselves "
"sinpin","adjective","facial, frontal, anterior, vertical "
"sinpin","noun","face, foremost, front, wall, chest, torso "
"sitelen","adjective","figurative, pictorial, metaphorical, metaphorisch "
"sitelen","adverb","pictorially "
"sitelen","noun","picture, image, representation, symbol, mark, writing "
"sitelen (e )","verb transitive","to draw, to write "
"sona","adjective","knowing, cognizant, shrewd "
"sona","noun","knowledge, wisdom, intelligence, understanding "
"sona","verb intransitive","to know, to understand "
"sona (e )","verb transitive","to know, to understand, to know how to "
"sona (e )","transitives verb","to learn, to study "
"sona ","auxiliary verb","to know how to "
"soweli","adjective","animal "
"soweli","noun","animal, especially land mammal, lovable animal, beast "
"suli","adjective","big, tall, long, adult, important "
"suli","adverb","big, tall, long, adult, important "
"suli","noun","size "
"suli (e )","verb transitive","to enlarge, to lengthen "
"suno","adjective","sunny, sunnily "
"suno","adverb","sunny, sunnily "
"suno","noun","sun, light "
"suno (e )","verb transitive","to light, to illumine "
"supa","adjective","flat, shallow, flat-bottomed, horizontal "
"supa","noun","horizontal surface, e.g furniture, table, chair, pillow, floor "
"suwi","adjective","sweet, cute "
"suwi","noun","candy, sweet food "
"suwi (e )","verb transitive","to sweeten "
"tan","adjective","causal, "
"tan","noun","origin, cause "
"tan ","preposition","from, by, because of, since "
"tan","verb intransitive","to come from, originate from, come out of "
"taso","adjective","only, sole "
"taso","adverb","only, just, merely, simply, solely, singly "
"taso ","conjunction","but, however "
"tawa","adjective","moving, mobile "
"tawa","adverb","moving, mobile "
"tawa","noun","movement, transportation "
"tawa ","preposition","to, in order to, towards, for, until "
"tawa","verb intransitive","to walk, to travel, to move, to leave, to visit "
"tawa (e )","verb transitive","to move, to displace "
"telo","adjective","wett, slobbery, moist, damp, humid, sticky, sweaty, dewy, drizzly "
"telo","adverb","wett, slobbery, moist, damp, humid, sticky, sweaty, dewy, drizzly "
"telo","noun","water, liquid, juice, sauce "
"telo (e )","verb transitive","to water, to wash with water, to put water to, to melt, to liquify "
"tenpo","adjective","temporal, chronological, chronologic "
"tenpo","adverb","chronologically "
"tenpo","noun","time, period of time, moment, duration, situation, occasion "
"toki","adjective","speaking, eloquent, linguistic, verbal, grammatical "
"toki","adverb","speaking, eloquent, linguistic, verbal, grammatical "
"toki!","interjection","hello, hi, good morning, "
"toki","noun","language, speech, tongue, lingo, jargon, "
"toki","verb intransitive","to talk, to chat, to communicate "
"toki (e )","verb transitive","to speak, to talk, to say, to pronounce, to discourse "
"tomo","adjective","urban, domestic, household "
"tomo","adverb","urban, domestic, household "
"tomo","noun","indoor constructed space, e.g. house, home, room, building "
"tomo (e )","verb transitive","to build, to construct, to engineer "
"tu","adjective numeral","two, 2 "
"tu","noun","duo, pair "
"tu (e )","verb transitive","to divide, to double, to separate, to cut in two "
"unpa","adjective","erotic, sexual "
"unpa","adverb","erotic, sexual "
"unpa","noun","sex, sexuality "
"unpa","verb intransitive","to have sex "
"unpa (e )","verb transitive","to have sex with, to sleep with, to fuck "
"uta","adjective","oral "
"uta","adverb","orally "
"uta","noun","mouth, lips, oral cavity, jaw, beak "
"uta (e )","verb transitive","to kiss, to osculate, to oral stimulate, to suck "
"utala","adjective","fighting "
"utala","adverb","fighting "
"utala","noun","conflict, disharmony, fight, war, battle, attack, violence "
"utala (e )","verb transitive","to hit, to strike, to attack, to compete against "
"walo","adjective","white, whitish, light-coloured, pale "
"walo","noun","white thing or part, whiteness, lightness "
"walo (e )","verb transitive","to whiten, to whitewash "
"wan","adjective numeral","one, 1 "
"wan","noun","unit, element, particle, part, piece "
"wan (e )","verb transitive","to unite, to make one "
"waso","adjective","bird- "
"waso","noun","bird, bat; flying creature, winged animal "
"wawa","adjective","energetic, strong, fierce, intense, sure, confident "
"wawa","adverb","strongly, powerfully "
"wawa","noun","energy, strength, power "
"wawa (e )","verb transitive","to strengthen, to energize, to empower "
"weka","adjective","absent, away, ignored "
"weka","noun","absence "
"weka (e )","verb transitive","to remove, to eliminate, to throw away, to get rid of "
"wile","noun","desire, need, will "
"wile (e )","verb transitive","to want, need, wish, have to, must, will, should "
"wile ","auxiliary verb","to want, need, wish, have to, must, will, should "
